,stations.lat,stations.long
1,48.033,1.85
2,48.167,1.933
3,49.083,2.25
4,48.923,2.281
5,48.309,2.264
6,48.65,2.55
7,48.417,2.05
8,48.65,2.483
9,49.4,2.85
10,48.5,2.1
11,48.1,2.683
12,48.127,2.776
13,48.9,2.883
14,48.533,2.933
15,48.46,3.027
16,49.229,3.261
17,48.617,3.35
18,48.7,3.383
19,48.061,3.373
20,49.417,3.7
21,48.433,3.767
22,48.733,4.017
23,49.12,4.079
24,48.067,4.15
25,49.2,4.65
26,48.27,4.374
27,47.65,0.067
28,47.45,1.1
29,47.233,1.367
30,47.533,1.383
31,47.65,1.433
32,47.983,1.6
33,47.567,2.432
34,47.85,2.633
35,47.45,2.875
36,47.656,3.209
37,47.2,3.267
38,46.8,3.217
39,46.912,3.27
40,47.5,3.7